angle_deg,x,y,z,fluence
-90.00000000,9.00000000,0.00000000,29.00000000,2.923512329289e-05
-89.00000000,9.00304610,0.34904813,29.00000000,2.892925498326e-05
-88.00000000,9.01218346,0.69798993,29.00000000,2.863144637710e-05
-87.00000000,9.02740930,1.04671912,29.00000000,2.968863867338e-05
-86.00000000,9.04871899,1.39512947,29.00000000,3.901823542624e-05
-85.00000000,9.07610604,1.74311485,29.00000000,4.818707642743e-05
-84.00000000,9.10956209,2.09056927,29.00000000,5.241682393963e-05
-83.00000000,9.14907697,2.43738687,29.00000000,4.339385505061e-05
-82.00000000,9.19463863,2.78346202,29.00000000,3.480194404187e-05
-81.00000000,9.24623319,3.12868930,29.00000000,2.998501340304e-05
-80.00000000,9.30384494,3.47296355,29.00000000,3.087643233081e-05
-79.00000000,9.36745633,3.81617991,29.00000000,3.186352043618e-05
-78.00000000,9.43704799,4.15823382,29.00000000,3.143910262228e-05
-77.00000000,9.51259870,4.49902109,29.00000000,2.917545380945e-05
-76.00000000,9.59408547,4.83843791,29.00000000,2.673999382000e-05
-75.00000000,9.68148347,5.17638090,29.00000000,3.287454388212e-05
-74.00000000,9.77476608,5.51274712,29.00000000,4.719000710469e-05
-73.00000000,9.87390488,5.84743409,29.00000000,6.181472768694e-05
-72.00000000,9.97886967,6.18033989,29.00000000,6.649055831881e-05
-71.00000000,10.08962849,6.51136309,29.00000000,6.056158791147e-05
-70.00000000,10.20614758,6.84040287,29.00000000,5.433160955903e-05
-69.00000000,10.32839147,7.16735899,29.00000000,5.248301798196e-05
-68.00000000,10.45632291,7.49213187,29.00000000,5.365003077250e-05
-67.00000000,10.58990293,7.81462257,29.00000000,5.337693034610e-05
-66.00000000,10.72909085,8.13473286,29.00000000,5.139616183965e-05
-65.00000000,10.87384426,8.45236523,29.00000000,4.992481211884e-05
-64.00000000,11.02411907,8.76742294,29.00000000,5.045167180054e-05
-63.00000000,11.17986952,9.07980999,29.00000000,5.412410748221e-05
-62.00000000,11.34104814,9.38943126,29.00000000,6.235635209873e-05
-61.00000000,11.50760586,9.69619240,29.00000000,7.328403192297e-05
-60.00000000,11.67949192,10.00000000,29.00000000,8.699735909143e-05
-59.00000000,11.85665399,10.30076150,29.00000000,8.918107864320e-05
-58.00000000,12.03903808,10.59838528,29.00000000,8.713978936382e-05
-57.00000000,12.22658864,10.89278070,29.00000000,8.153223447525e-05
-56.00000000,12.41924855,11.18385807,29.00000000,7.837435638951e-05
-55.00000000,12.61695911,11.47152873,29.00000000,7.623828195150e-05
